IOBS,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b5_8,b5_9,b5_10,b5_11
410159,,10,,6,,4,,,,,
410160,10,10,,10,10,,,,,,
410161,8,9,8,9,9,9,8,7,,,
410162,,8,5,2,10,10,,,,,
410163,10,,9,7,9,6,,8,10,8,6
410164,6,7,8,7,7,6,8,,,5,7
410165,10,9,9,10,10,10,10,10,10,10,10
410166,5,5,6,5,6,7,7,10,,,6
410167,7,5,5,6,10,9,8,6,,,4
410169,10,7,5,,9,,6,,,,
410170,,2,3,6,7,,,,,,
410171,5,10,10,8,8,,5,7,,,
410172,2,5,5,7,10,2,1,,,,5
410173,,,,10,10,,8,9,,,
410174,4,4,4,6,6,5,5,,,,4
410175,,8,7,4,5,5,5,,,,6
410176,,5,10,,10,7,5,6,,,
410177,8,10,10,10,10,10,10,10,7,4,8
410178,9,10,8,8,10,,7,,,,
410179,,9,,5,8,,10,,,,
410181,7,8,7,8,7,6,8,,,,
410182,7,10,5,7,6,5,7,,,,6
410183,3,2,2,7,2,,4,,,,
410184,10,6,9,10,10,10,10,6,,,7
410185,8,,9,8,9,8,9,,,,
410186,10,10,5,5,10,10,10,5,,,5
410187,9,8,9,9,8,,8,9,,,
410188,9,9,7,8,8,,,,,,8
410189,7,,6,5,8,,10,,,,
410190,7,6,4,9,4,3,4,,2,4,9
410191,3,1,9,7,10,4,3,,,,2
410193,5,7,6,6,9,6,5,,5,4,6
410194,8,8,8,9,9,7,8,6,,,10
410195,6,8,6,6,6,8,8,6,6,6,7
410196,5,8,6,5,9,6,8,,5,,
410197,,10,10,,10,,,,,,
410198,10,9,10,10,10,10,10,,,,10
410199,7,10,10,6,4,8,4,9,,,4
410200,9,9,9,9,9,9,9,9,9,9,9
410201,10,9,10,8,10,10,10,,,,
410202,10,10,9,6,7,10,8,,,5,6
410204,7,5,6,5,5,6,5,,,,6
410205,10,10,10,10,10,9,10,10,,10,10
410206,6,10,7,6,6,7,8,,,8,9
410207,1,2,1,1,1,,,,,,
410208,9,7,5,8,8,6,7,,,,6
410209,9,9,10,9,9,9,9,,,,
410210,10,10,10,10,9,10,10,10,10,10,10
410211,8,8,7,7,7,8,7,8,,8,
410213,2,4,4,4,5,2,4,,,,2
410214,7,6,10,7,9,7,8,,,,3
410215,8,8,10,10,10,8,8,,,,
410216,9,10,9,9,9,10,10,9,,,10
410217,5,3,7,4,5,6,6,,,,6
410218,8,8,6,8,8,8,7,7,6,7,7
410219,9,5,8,7,8,8,7,6,,,
410220,3,10,7,6,2,7,5,,,,2
410221,7,7,6,7,8,6,6,,,,
410222,10,10,7,6,10,10,8,10,10,,8
410223,8,8,7,10,10,6,10,,,,10
410224,10,4,10,4,1,1,4,2,,5,4
410225,6,9,4,5,5,5,6,10,,,
410226,10,9,9,9,9,9,9,9,9,9,10
410227,2,8,6,4,8,8,8,2,,,6
410228,5,5,3,3,3,3,3,,,,3
410229,10,10,9,9,10,10,8,10,8,,
410230,6,8,7,6,6,8,8,,,7,3
410232,10,5,7,5,,,,9,,,
410233,9,10,10,7,6,,8,9,,,
410235,8,6,6,6,6,8,7,,4,,
410236,6,10,10,,,,,,,,
410237,9,9,9,8,8,8,8,10,,,
410238,2,4,2,2,3,4,3,1,2,1,2
410239,6,5,5,1,6,7,2,,,,
410240,,10,,9,10,7,8,,,,
410241,5,8,8,4,9,6,6,10,,6,7
410242,,,10,,,,10,,,,
410243,3,8,7,8,10,10,7,,,,6
410244,4,5,5,7,9,6,5,,,,
410245,7,3,6,5,4,8,8,7,,,10
410246,9,,,4,7,10,4,4,,,
410247,10,10,10,10,10,10,,8,10,,10
410248,9,10,,7,9,,10,,,,
410249,,9,9,8,8,,8,,,,
410250,10,5,5,5,8,5,5,5,,,
410251,10,10,10,10,8,10,8,,9,,10
410252,,8,9,,9,,8,,,6,6
410253,9,10,9,10,8,9,9,,,9,10
410254,8,10,10,8,10,10,9,9,,,
410255,10,10,9,10,10,,10,10,10,10,8
410256,8,8,8,7,8,8,8,,,,7
410257,6,7,8,9,8,8,8,,,9,6
410258,6,9,3,10,8,2,10,3,2,3,2
410259,4,9,,,7,,3,,,,3
410260,8,7,7,8,8,9,7,,,,
410261,,9,7,10,7,9,8,,,,
410262,,9,8,9,9,9,9,,,,8
410263,7,8,9,7,,,,,,,
410264,10,10,10,10,10,10,10,10,5,,6
410265,3,8,6,8,7,5,7,,,,5
410266,10,9,10,10,10,10,10,,,,
410267,9,8,8,9,8,9,7,8,,,8
410268,10,10,10,10,10,10,10,,7,,10
410269,9,10,10,9,8,9,9,,,,
410270,3,3,2,3,3,2,3,3,3,,2
410271,5,8,7,7,7,2,3,4,,,8
410273,7,9,7,8,8,9,9,5,,,7
410274,9,9,9,,9,,9,9,,9,9
410275,7,9,,8,,,8,,,,
410276,9,10,6,8,7,5,9,,,7,9
410277,10,10,5,,7,,,5,,,
410278,7,9,10,10,7,6,7,10,,,
410279,10,10,9,8,9,8,10,,,,8
410280,3,5,3,2,1,5,4,,,4,5
410281,10,,10,8,7,6,7,,,,
410282,1,9,3,2,5,1,9,,5,,1
410283,8,8,9,5,5,,10,,,,10
410284,9,8,7,8,9,10,9,,,,9
410285,8,8,7,7,8,7,7,7,,,7
410286,5,8,8,,5,5,5,,,,
410287,4,9,7,8,9,3,4,6,,,3
410288,,6,3,8,3,,5,,,,3
410289,7,8,8,6,7,7,8,,,,7
410290,2,5,7,9,8,3,6,4,3,,2
410291,8,8,3,8,6,5,7,9,,,4
410292,4,5,,1,10,,4,5,,4,
410293,9,10,9,8,9,10,10,,,8,10
410294,10,10,8,10,7,10,10,,7,10,10
410295,6,8,7,7,8,,6,,,,7
410296,7,9,9,8,7,8,8,7,,8,7
410297,9,8,9,10,9,8,9,,,,
410298,6,9,10,6,8,9,5,9,4,10,7
410299,9,10,,8,10,10,,10,,,
410301,5,9,,,4,5,8,,,,5
410302,8,9,10,9,10,9,10,8,,,9
410303,,6,5,9,10,,,,,,6
410304,5,5,,3,5,4,3,,,,
410307,7,10,8,4,5,5,5,6,,8,
410308,8,8,8,9,9,8,7,9,6,,5
410309,,10,7,10,8,,5,,,,
410310,5,6,6,6,4,6,6,,8,,7
410312,4,9,6,4,5,4,4,5,,7,4
410313,10,10,10,10,10,8,8,8,,,10
410314,10,,,9,10,9,10,,,,10
410315,6,8,6,6,8,,6,,,,7
410316,2,2,2,5,7,7,6,7,2,,2
410317,6,7,10,9,10,10,9,10,,,6
410318,7,2,2,8,10,10,,10,,,6
410319,7,10,6,7,7,6,8,4,6,6,5
410320,7,9,7,6,5,8,8,6,7,,7
410321,,2,10,10,10,,10,,,,
410322,1,5,,2,2,,10,,,,3
410323,9,8,10,6,7,9,7,10,,6,6
